id,nom,arrondissement,adresse,date_creation,date_revision,longitude,latitude
"10478","Jardin communautaire Robert-Mitchell","Saint-Laurent","Rue Crevier, Montréal, QC, CA","2021-01-28T11:21:46-0500","2024-10-30T14:22:07-0400",-73.673935478807,45.505317869036
"10165","Jardin communautaire Roi-René","Anjou","Boulevard Roi-René, Montréal, QC, CA, H1K1B5","2021-01-18T18:43:02-0500","2024-05-09T09:20:43-0400",-73.55686512675,45.612624005656
"10434","Jardin communautaire Rosemont","Rosemont–La Petite-Patrie","30e Avenue et boulevard Rosemont, Montréal, QC, CA","2021-01-27T11:57:27-0500","2023-05-10T12:04:20-0400",-73.569146442726,45.56516639742
"10549","Jardin communautaire Saint-André","Ville-Marie","Rue Labrecque, entre les rues Ontario Est et Sherbrooke Est, Montréal, QC, CA","2021-01-29T12:12:24-0500","2024-05-17T15:56:17-0400",-73.564599598976,45.519740749007
"10559","Jardin communautaire Saint-Eusèbe","Ville-Marie","Rues Dufresne et Larivière, Montréal, QC, CA","2021-01-29T14:23:26-0500","2024-05-17T15:55:54-0400",-73.556570132837,45.53206571153
"10436","Jardin communautaire Saint-Marc","Rosemont–La Petite-Patrie","1ere Avenue, Montréal, QC, CA","2021-01-27T13:03:49-0500","2023-04-27T17:16:28-0400",-73.595918030165,45.553060618368
"10256","Jardin communautaire Saint-Raymond","Côte-des-Neiges–Notre-Dame-de-Grâce","Chemin Upper-Lachine et avenue d'Oxford, Montréal, QC, CA","2021-01-21T10:58:58-0500","2021-10-14T14:31:05-0400",-73.609263445416,45.468871522949
"10680","Jardin communautaire Saint-Sulpice","Ahuntsic-Cartierville","avenues Émile-Journault et André-Grasset, Montréal, QC, CA","2021-02-03T15:16:21-0500","2024-07-23T15:02:45-0400",-73.635389249764,45.557259135922
"10556","Jardin communautaire Sainte-Catherine","Ville-Marie","Rue Saint-Thimothée, entre le boulevard De Maisonneuve Est et la rue Robin, Montréal, QC, CA","2021-01-29T13:49:02-0500","2024-05-17T15:55:18-0400",-73.56020377609,45.51840073731
"10411","Jardin communautaire Sainte-Maria-Goretti","Rivière-des-Prairies–Pointe-aux-Trembles","94e Avenue et de la terrasse Sainte-Maria-Goretti, Montréal, QC, CA","2021-01-27T09:54:21-0500","2021-06-08T12:21:27-0400",-73.482661325,45.697903947165
"10557","Jardin communautaire Sainte-Marie","Ville-Marie","Rue La Fontaine, entre les rues Fullum et Dufresne, Montréal, QC, CA","2021-01-29T14:03:52-0500","2024-05-17T15:54:41-0400",-73.551271039247,45.529338155127
"10384","Jardin communautaire Sainte-Marthe","Rivière-des-Prairies–Pointe-aux-Trembles","Boulevard Armand-Bombardier et boulevard Perras, Montréal, QC, CA","2021-01-26T11:53:19-0500","2021-06-08T12:18:34-0400",-73.598005352344,45.638228808478
"10682","Jardin communautaire Sault-au-Récollet","Ahuntsic-Cartierville","2425, boulevard Gouin Est, près de la rue du Pressoir, Montréal, QC, CA, H2B1X7","2021-02-03T16:21:09-0500","2024-07-23T17:13:51-0400",-73.659754436455,45.576089289329
"10472","Jardin communautaire super jardin","Saint-Laurent","545, avenue Sainte-Croix, Montréal, QC, CA","2021-01-28T10:53:12-0500","2024-10-30T14:36:21-0400",-73.669536452733,45.516343590984
"10560","Jardin communautaire Versailles","Ville-Marie","Rue Saint-Antoine Ouest et rue de Versailles, Montréal, QC, CA","2021-01-29T14:40:02-0500","2024-05-17T15:53:55-0400",-73.570187419258,45.493816902121
"10596","Jardin communautaire Villeray","Villeray–Saint-Michel–Parc-Extension","8000, avenue Christophe-Colomb, Montréal, QC, CA, H2R2W1","2021-02-01T15:20:59-0500","2024-06-04T09:38:28-0400",-73.623535357468,45.54729036506
"52501","Jardin libre du parc Beaubien","Rosemont–La Petite-Patrie","Angle de la rue Saint-Zotique Est et de la 9e Avenue, Montréal, QC, CA, H1Y2K8","2023-07-04T09:21:28-0400","2024-04-30T15:45:34-0400",-73.59089161039687,45.554429667557656
"59080","Jardin libre du parc de la Louisiane","Rosemont–La Petite-Patrie","Devant le parc à chien (rue de Bellechasse, entre la 31e Avenue et la 35e Avenue), Montréal, QC, CA, H1T3E3","2023-11-06T14:06:45-0500","2024-05-27T09:49:14-0400",-73.570695,45.567869
"10055","Jardins communautaires Charles-Nagy","LaSalle","Société d’horticulture de LaSalle, Boulevard LaSalle, entre la rue des Oblats et l’avenue Bélanger, Montréal, QC, CA, H8R2N5","2021-01-13T14:31:40-0500","2024-06-20T16:18:43-0400",-73.655226867638,45.423004767029
"10059","Jardins communautaires des Rapides","LaSalle","Société d’horticulture des Rapides, Boulevard LaSalle près du canal de l’Aqueduc, Montréal, QC, CA, H8P1Z8","2021-01-13T16:29:36-0500","2024-06-20T16:08:05-0400",-73.629177253686,45.416867306457
"68556","Serre Emily-De Witt","Ahuntsic-Cartierville","2215, rue Dufresne, Montréal, QC, CA, H2K1L8","2024-05-07T12:31:24-0400","2024-10-31T15:43:21-0400",-73.557092,45.532998
